	blue	no_stimulus	red	stimulus	drift_1	constant
0.0	-1.514150102558824e-15	-4.243242737328637e-15	-1.409227373886907e-15	-2.792102248738941e-15	-0.5000000000000019	1.0000000000000024
6.5	-1.2919095021223729e-15	-2.140833954128597e-15	0.1324598164968655	0.1324598164968653	-0.4795918367346957	1.000000000000002
13.0	-4.1390779498206856e-16	9.220168893677137e-16	0.3188751149523434	0.31887511495234383	-0.45918367346938954	1.0000000000000016
19.5	-6.261645265749544e-16	5.080834907725578e-18	0.26443839446505507	0.26443839446505524	-0.43877551020408323	1.0000000000000018
26.0	-6.446405521189678e-16	-6.280613005083387e-17	0.26004031767079006	0.2600403176707902	-0.41836734693877703	1.0000000000000018
32.5	-2.4537297021730686e-16	0.05869507534043086	0.18725041778579382	0.1872504177857932	-0.39795918367347083	1.0000000000000022
39.0	-5.5261341151637056e-18	0.34204146918544276	-0.07453199295195627	-0.07453199295195538	-0.3775510204081646	1.000000000000002
45.5	0.08123031383623001	0.18135122002079881	-0.017182580831501093	0.06404773300472759	-0.35714285714285854	1.0000000000000016
52.0	0.3484011082617259	-0.0734629519755162	-0.0008432521481341775	0.3475578561135893	-0.3367346938775524	1.0000000000000004
58.5	0.260324366490288	-0.014730882882104307	-1.151476134049409e-05	0.26031285172894786	-0.3163265306122461	1.000000000000001
65.0	0.272282919899786	-0.0006690944613021434	2.372130714302457e-16	0.2722829198997843	-0.2959183673469399	1.0000000000000009
71.5	0.20599379305622417	0.03926567793498554	-5.527281245824672e-16	0.205993793056224	-0.2755102040816337	1.0000000000000013
78.0	-0.07415325477865688	0.34964481583495577	-8.745705093059781e-17	-0.07415325477865649	-0.2551020408163275	1.0000000000000024
84.5	-0.02000128218039045	0.20791517512398489	0.058420376249396624	0.0384190940690068	-0.23469387755102125	1.000000000000002
91.0	-0.0010485911532827723	-0.07470732572745709	0.3466158814357486	0.34556729028246974	-0.21428571428571494	1.000000000000001
97.5	-1.556300702170302e-05	-0.017270185105761192	0.266712456492657	0.26669689348562886	-0.1938775510204091	1.0000000000000018
104.0	-6.531428018230343e-16	-0.0008452822013347084	0.2596079325944407	0.2596079325944406	-0.1734693877551027	1.0000000000000016
