	blue	no_stimulus	red	stimulus	drift_1	constant
0.0	-3.8022445958100955e-15	-3.797728665690933e-15	-3.190409598992139e-15	-1.2587707375119767e-15	-0.5000000000000019	1.0000000000000038
4.0	5.3803532957205956e-17	-3.5596602058003916e-15	0.006733439488062162	0.006733439488056522	-0.4864864864864878	0.9999999999999999
8.0	-1.355093697214359e-15	-3.421944974809475e-16	0.13830254312547743	0.1383025431254795	-0.4729729729729744	1.0000000000000018
12.0	2.3196520678689e-16	1.3270636678297078e-15	0.20509762762255612	0.20509762762255748	-0.45945945945946076	1.0000000000000004
16.0	-1.9774177647977113e-16	8.137911381471649e-16	0.18490145060432792	0.1849014506043293	-0.4459459459459472	1.0000000000000007
20.0	3.0224783312293484e-16	3.2105138596698807e-16	0.1652253726825422	0.1652253726825419	-0.43243243243243373	1.0000000000000007
24.0	2.8493675893809653e-16	1.3386533001577596e-16	0.15778721010396207	0.15778721010396146	-0.4189189189189202	1.0000000000000009
28.0	4.207511411784513e-16	8.075534484074084e-05	0.15790688226465735	0.1579068822646565	-0.40540540540540654	1.0000000000000013
32.0	-2.7412899726342975e-16	0.09164323968582189	0.06720692133256931	0.06720692133256805	-0.3918918918918931	1.0000000000000004
36.0	-1.0589012590625174e-15	0.19988509184874206	-0.04121868016210569	-0.04121868016210748	-0.37837837837837957	1.0000000000000007
40.0	0.004016920293952205	0.1869744545709074	-0.033502713620125336	-0.029485793326173685	-0.36486486486486597	1.0000000000000004
44.0	0.12970477353755722	0.04183031243875394	-0.01009895146669448	0.1196058220708619	-0.3513513513513524	1.0000000000000013
48.0	0.20509595038773312	-0.04446658834232802	-0.0018065918500761243	0.20328935853765792	-0.3378378378378389	1.0000000000000016
52.0	0.18534293778100122	-0.026835720147893396	-0.00022366011380176983	0.18511927766719918	-0.32432432432432523	1.0000000000000018
56.0	0.16476894838362946	-0.007043999124822041	-1.4263064305258215e-05	0.1647546853193268	-0.31081081081081174	1.0000000000000016
60.0	0.16194853486890742	-0.0011480868379934728	-2.6348788831913414e-16	0.16194853486890518	-0.29729729729729815	1.000000000000001
64.0	0.15861347193769412	-0.00011806282243318343	-6.743194459327994e-16	0.1586134719376928	-0.28378378378378455	1.0000000000000013
68.0	0.07677231354777196	0.08162283166369803	-1.631948302752964e-16	0.07677231354777174	-0.270270270270271	1.0000000000000009
72.0	-0.0389039385351757	0.1970510760821394	8.342755115664021e-16	-0.03890393853517485	-0.25675675675675746	1.0000000000000004
76.0	-0.03529861687887104	0.19027698717182703	0.0021273574658896453	-0.03317125941298189	-0.243243243243244	1.0000000000000004
80.0	-0.011080366236204797	0.05238700971817045	0.11554123579897695	0.1044608695627739	-0.22972972972973035	1.0000000000000009
84.0	-0.0020410222346478827	-0.04351572441570742	0.20857602608032147	0.20653500384567797	-0.21621621621621684	1.0000000000000009
88.0	-0.0002566272979912329	-0.028562292843574137	0.18808286130042287	0.18782623400242787	-0.20270270270270319	1.0000000000000009
92.0	-1.6562528608901546e-05	-0.007780729723148845	0.16461471482247514	0.1645981522938631	-0.18918918918918964	1.0000000000000007
96.0	-4.2456782476441755e-16	-0.00129953255863014	0.1578327254118666	0.15783272541186724	-0.17567567567567613	1.0000000000000009
100.0	5.072481005277918e-16	0.003870132133472005	0.15315944404071918	0.15315944404071788	-0.16216216216216262	1.0000000000000007
104.0	-9.708138693514674e-16	0.13467327953008265	0.02830498971669469	0.02830498971669402	-0.14864864864864905	1.0000000000000007
108.0	-1.2998495170683427e-15	0.20511891495670195	-0.04621906483297271	-0.04621906483297431	-0.13513513513513556	1.0000000000000007
112.0	0.0009550195293218849	0.18174051619020465	-0.02643920381396584	-0.02548418428464405	-0.12162162162162198	1.0000000000000007
116.0	0.10575498845685255	0.05767111853241447	-0.006841501140173769	0.09891348731667506	-0.10810810810810839	1.000000000000001
120.0	0.2020351501355045	-0.04336817497653164	-0.0011084675016701	0.20092668263383548	-0.0945945945945948	1.0000000000000018
124.0	0.19282119429280212	-0.03048836642764501	-0.00012284205561005152	0.1926983522371925	-0.08108108108108125	1.0000000000000018
128.0	0.16718463775087117	-0.008597831182681835	-7.77923854737257e-06	0.16717685851232353	-0.06756756756756768	1.0000000000000013
132.0	0.1576869983035481	-0.0014690359747813037	-1.0701029718053411e-15	0.15768699830354752	-0.05405405405405414	1.0000000000000016
136.0	0.15495869146966035	0.0019518610019967123	-6.140416828971441e-16	0.1549586914696589	-0.04054054054054054	1.0000000000000013
140.0	0.03759308296412619	0.12068274533470118	2.8314402540832335e-16	0.03759308296412618	-0.027027027027027053	1.0000000000000009
144.0	-0.04565099899505398	0.20650380555049663	9.194034422677078e-16	-0.04565099899505298	-0.01351351351351348	1.0000000000000002
148.0	-0.028181025894612518	0.18661649143736264	0.00033680827552414437	-0.02784421761908822	3.122502256758253e-17	1.0000000000000007
152.0	-0.007560434005730316	0.06824609828555708	0.09584487488568005	0.08828444087994991	0.01351351351351361	1.000000000000001
156.0	-0.0012549166071708087	-0.04197425619887905	0.20077322891743504	0.19951831231026157	0.027027027027027216	1.0000000000000007
160.0	-0.0001414403484034746	-0.03237018977689717	0.19126786058625522	0.19112642023785328	0.040540540540540786	1.000000000000001
164.0	-9.063317951845754e-06	-0.009480216892890516	0.1689923754876836	0.16898331216973494	0.05405405405405434	1.0000000000000013
168.0	3.113403240533751e-16	-0.0016604277565687813	0.161050774811139	0.1610507748111382	0.06756756756756792	1.000000000000001
172.0	2.167123547520436e-16	0.0007532685857637589	0.15643823386555086	0.15643823386555006	0.08108108108108139	1.0000000000000009
176.0	-8.92575526609986e-16	0.11128179133325401	0.04687158248303418	0.04687158248303349	0.09459459459459499	1.0000000000000009
180.0	-1.3802024521054417e-15	0.20362081271878443	-0.04477609151567475	-0.04477609151567627	0.10810810810810847	1.0000000000000007
184.0	9.437598327713223e-06	0.18828119551755995	-0.02996987581956486	-0.029960438221237184	0.12162162162162202	1.0000000000000007
188.0	0.0828029488388094	0.08268422883949156	-0.008348973763624907	0.07445397507518475	0.13513513513513556	1.0000000000000009
192.0	0.19775152108119098	-0.03948071822441614	-0.001418870180757515	0.19633265090043459	0.14864864864864927	1.0000000000000018
196.0	0.19777273871130788	-0.03458409530824428	-0.0001693639730942284	0.19760337473821302	0.1621621621621628	1.0000000000000016
200.0	0.16984754817099226	-0.010573056170478889	-1.0550841660449612e-05	0.16983699732933458	0.17567567567567624	1.0000000000000013
204.0	0.15871823942037488	-0.001900816849658764	-7.2691374323913775e-16	0.15871823942037372	0.1891891891891898	1.0000000000000016
208.0	0.15643160451710275	0.00010158833613457934	-9.148808211282847e-16	0.15643160451710203	0.20270270270270346	1.0000000000000013
212.0	0.06119896435281394	0.09583061182137662	8.365702448470422e-18	0.061198964352813884	0.21621621621621698	1.0000000000000009
216.0	-0.04277252898113615	0.20575079822791167	9.646072852658676e-16	-0.042772528981135184	0.22972972972973058	1.0000000000000002
220.0	-0.0323909750314992	0.18456664872795442	0.006724176427271857	-0.02566679860422694	0.24324324324324398	1.0000000000000004
224.0	-0.009470430266851806	0.03133934226833889	0.13438741990407319	0.12491698963722057	0.2567567567567578	1.0000000000000009
228.0	-0.001658437133517299	-0.04529402975629321	0.20353707273890223	0.2018786356053823	0.2702702702702713	1.0000000000000007
232.0	-0.00020175094355893167	-0.025211114773394775	0.18297137337425698	0.18276962243069766	0.2837837837837849	1.0000000000000009
236.0	-1.2272441253436395e-05	-0.006375999880072263	0.1685982581308722	0.16858598568961938	0.2972972972972984	1.0000000000000004
240.0	1.9760744871163292e-16	-0.0010141001606624332	0.1595931274903042	0.15959312749030344	0.3108108108108119	1.0000000000000009
244.0	-6.702650716850161e-16	-2.9882926375280657e-05	0.15624784525514052	0.15624784525514135	0.3243243243243255	1.0000000000000007
248.0	-1.0217369498238557e-15	0.0859366634549201	0.07097388901673603	0.0709738890167359	0.337837837837839	1.0000000000000007
252.0	-1.452876933574829e-15	0.19899490925223529	-0.04071908095340655	-0.04071908095340805	0.3513513513513524	1.0000000000000002
